UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
T0_0,0.000000,0.000000,0.001,0.0004,,Si
T0_1,0.000000,0.000400,0.0004,0.0002,,Si
T0_2,0.000000,0.000400,0.0002,0.0002,,Si
T0_3,0.000000,0.000400,0.0004,0.0002,,Si
T0_4,0.000000,0.000600,0.001,0.0004,,Si
