UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
Unit_0,0.000000,0.000000,0.001,0.0004,,Metal7_8
Unit_1,0.000000,0.000400,0.0004,0.0002,,Metal7_8
Unit_2,0.000400,0.000400,0.0002,0.0002,,Metal7_8
Unit_3,0.000600,0.000400,0.0004,0.0002,,Metal7_8
Unit_4,0.000000,0.000600,0.0010,0.0004,,Metal7_8
