UnitName,X,Y,Length (m),Width (m),ConfigFile,Label
T1_0,0.000000,0.000000,0.001,0.0004,,Si
T1_1,0.000000,0.000400,0.0004,0.0002,,Si
T1_2,0.000400,0.000400,0.0002,0.0002,,Si
T1_3,0.000600,0.000400,0.0004,0.0002,,Si
T1_4,0.000000,0.000600,0.001,0.0004,,Si
